城市,起始時間,結束時間,最高溫度,最低溫度,感覺
臺北市,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,33.0,30.0,悶熱至易中暑
新北市,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,33.0,30.0,悶熱至易中暑
桃園市,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,32.0,30.0,悶熱
臺中市,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,33.0,30.0,悶熱
臺南市,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,32.0,29.0,悶熱
高雄市,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,32.0,30.0,悶熱
基隆市,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,32.0,29.0,悶熱
新竹縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,32.0,29.0,悶熱
新竹市,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,32.0,30.0,悶熱
苗栗縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,32.0,29.0,悶熱
彰化縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,33.0,30.0,悶熱至易中暑
南投縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,33.0,30.0,悶熱至易中暑
雲林縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,33.0,29.0,悶熱
嘉義縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,32.0,29.0,悶熱
嘉義市,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,33.0,29.0,悶熱至易中暑
屏東縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,33.0,29.0,悶熱至易中暑
宜蘭縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,32.0,29.0,悶熱
花蓮縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,32.0,30.0,悶熱
臺東縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,33.0,30.0,悶熱
澎湖縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,32.0,29.0,悶熱
金門縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,33.0,29.0,悶熱
連江縣,2024-08-15T12:00:00+08:00,2024-08-15T18:00:00+08:00,32.0,28.0,悶熱
